Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро,Координати адрес,Найближча станція,Відстань до метро
"вул. Бориспільська, 23А",2 кімнати,68 м²,8 500 грн,"Дарницький,",Червоний хутір,"{'lat': 50.4226543, 'lng': 30.7039941}",Червоний хутір,2.418
"вул. Молдавська, 2",3 кімнати,160 м²,30 000 грн,"Солом'янський,",Шулявська,"{'lat': 50.4584011, 'lng': 30.4770813}",Лук'янівська,1.001
вул. Митрополита Василя Липківського,2 кімнати,51 м²,30 000 грн,"Солом'янський,",,"{'lat': 50.4336011, 'lng': 30.484256}",Вокзальна,2.319
"просп. Лобановського, 6-Д",1 кімната,56 м²,12 000 грн,"Солом'янський,",Деміївська,"{'lat': 50.4220206, 'lng': 30.4661904}",Вокзальна,5.126
"вул. Пулюя, 1А",3 кімнати,90 м²,17 000 грн,"Солом'янський,",Вокзальна,"{'lat': 50.416432, 'lng': 30.4662169}",Вокзальна,6.407
"пров. Ясинуватський, 10",2 кімнати,80 м²,18 727 грн,"Голосіївський,",Деміївська,"{'lat': 50.4098982, 'lng': 30.5069597}",Деміївська,3.853
"вул. Академіка Вільямса, 3/7",1 кімната,50 м²,12 500 грн,"Голосіївський,",Іподром,"{'lat': 50.3899122, 'lng': 30.4652596}",Виставковий центр,2.989
"просп. Володимира Івасюка, 4",1 кімната,58 м²,14 000 грн,"Оболонський,",Оболонь,"{'lat': 50.4925449, 'lng': 30.5251349}",Почайна,4.503
"просп. Петра Григоренка, 15",3 кімнати,85 м²,11 000 грн,"Дарницький,",Позняки,"{'lat': 50.4094679, 'lng': 30.6290307}",Позняки,2.211
"просп. Бажана Миколи, 36",3 кімнати,102 м²,15 000 грн,"Дарницький,",Харківська,"{'lat': 50.3993511, 'lng': 30.6497879}",Харківська,2.418
"вул. Січових Стрільців, 30А",2 кімнати,53 м²,16 000 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4564886, 'lng': 30.497555}",Лук'янівська,1.26
"вул. Пулюя, 5А",3 кімнати,79 м²,16 000 грн,"Солом'янський,",Вокзальна,"{'lat': 50.4152929, 'lng': 30.4661581}",Вокзальна,6.287
"вул. Урлівська, 38",3 кімнати,100 м²,12 000 грн,"Дарницький,",Позняки,"{'lat': 50.4117435, 'lng': 30.6163605}",Позняки,2.377
вул. Раїси Окіпної,2 кімнати,98 м²,56 180 грн,"Дніпровський,",,"{'lat': 50.449423, 'lng': 30.5950338}",Лівобережна,0.469
"вул. Григорія Андрющенка, 4Б",1 кімната,34 м²,10 000 грн,"Солом'янський,",Лук'янівська,"{'lat': 50.4535949, 'lng': 30.4815476}",Лук'янівська,1.773
"вул. Микільсько-Ботанічна, 7/9",2 кімнати,52 м²,29 963 грн,"Голосіївський,",Університет,"{'lat': 50.4384185, 'lng': 30.5058721}",Університет,2.095
"вул. Саперне Поле, 3",3 кімнати,99 м²,93 633 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}",Палац Україна,0.964
"вул. Саперне Поле, 3",3 кімнати,92 м²,78 652 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}",Палац Україна,0.964
"вул. Саперне Поле, 3",3 кімнати,94 м²,71 161 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}",Палац Україна,0.964
"просп. Берестейський(Перемоги), 146/2",3 кімнати,68 м²,12 500 грн,"Святошинський,",Житомирська,"{'lat': 50.4562196, 'lng': 30.3474309}",Святошин,2.815
"просп. Лобановського, 146Б",2 кімнати,51 м²,25 000 грн,"Голосіївський,",,"{'lat': 50.4068996, 'lng': 30.5076453}",Деміївська,3.992
вул. Йорданська,2 кімнати,56 м²,9 500 грн,"Оболонський,",Оболонь,"{'lat': 50.4948288, 'lng': 30.5072863}",Оболонь,1.8
"пров. Приладний, 10",2 кімнати,60 м²,11 000 грн,"Святошинський,",Академмістечко,"{'lat': 50.4733084, 'lng': 30.3643253}",Академмістечко,3.354
"вул. Ковпака, 17",3 кімнати,103 м²,18 727 грн,"Печерський,",Либідська,"{'lat': 50.4172232, 'lng': 30.5247632}",Палац Україна,0.624
"просп. Володимира Івасюка, 12Ж",3 кімнати,122 м²,27 000 грн,"Оболонський,",Оболонь,"{'lat': 50.5065089, 'lng': 30.5122056}",Оболонь,1.91
"вул. Драгомирова, 9",2 кімнати,68 м²,41 198 грн,"Печерський,",,"{'lat': 50.4101218, 'lng': 30.5465873}",Дружби народів,2.145
"вул. Драгомирова, 17",3 кімнати,90 м²,59 925 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}",Дружби народів,3.161
"вул. Драгомирова, 17",3 кімнати,90 м²,48 689 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}",Дружби народів,3.161
"вул. Драгомирова, 14А",1 кімната,52 м²,41 198 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}",Дружби народів,1.951
"вул. Драгомирова, 20",3 кімнати,90 м²,67 416 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}",Дружби народів,2.472
"вул. Драгомирова, 20",4 кімнати,150 м²,59 925 грн,"Печерський,",Дружби народів,"{'lat': 50.4092905, 'lng': 30.5438982}",Дружби народів,2.472
"вул. Драгомирова, 3",5 кімнат,250 м²,131 086 грн,"Печерський,",,"{'lat': 50.4125937, 'lng': 30.5468869}",Дружби народів,1.822
"вул. Драгомирова, 15",1 кімната,50 м²,29 963 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}",Дружби народів,2.951
"вул. Драгомирова, 20",4 кімнати,190 м²,168 539 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}",Дружби народів,2.472
"вул. Драгомирова, 3",3 кімнати,130 м²,74 906 грн,"Печерський,",,"{'lat': 50.4125937, 'lng': 30.5468869}",Дружби народів,1.822
"вул. Драгомирова, 2А",2 кімнати,105 м²,44 944 грн,"Печерський,",,"{'lat': 50.41358049999999, 'lng': 30.5445166}",Дружби народів,2.311
"вул. Драгомирова, 20",2 кімнати,60 м²,33 708 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}",Дружби народів,2.472
"вул. Драгомирова, 12",3 кімнати,135 м²,48 689 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}",Дружби народів,1.833
"вул. Драгомирова, 11",2 кімнати,68 м²,56 180 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}",Дружби народів,2.883
"вул. Драгомирова, 15",3 кімнати,90 м²,59 925 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}",Дружби народів,2.951
"вул. Саперне Поле, 3",3 кімнати,99 м²,93 633 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}",Палац Україна,0.964
"вул. Драгомирова, 15",2 кімнати,60 м²,29 963 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}",Дружби народів,2.951
"вул. Драгомирова, 14",4 кімнати,160 м²,67 416 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}",Дружби народів,1.951
"вул. Драгомирова, 12",5 кімнат,180 м²,78 652 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}",Дружби народів,1.833
"вул. Саперне Поле, 3",3 кімнати,94 м²,71 161 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}",Палац Україна,0.964
"вул. Саперне Поле, 3",3 кімнати,92 м²,78 652 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}",Палац Україна,0.964
"вул. Драгомирова, 12",3 кімнати,90 м²,44 944 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}",Дружби народів,1.833
"вул. Драгомирова, 11",3 кімнати,115 м²,74 906 грн,"Печерський,",Дружби народів,"{'lat': 50.409347, 'lng': 30.5458778}",Дружби народів,2.883
"вул. Драгомирова, 20",3 кімнати,115 м²,63 670 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}",Дружби народів,2.472
"вул. Драгомирова, 15",3 кімнати,140 м²,78 652 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}",Дружби народів,2.951
"вул. Драгомирова, 11",4 кімнати,145 м²,93 633 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}",Дружби народів,2.883
"вул. Драгомирова, 7",2 кімнати,90 м²,63 670 грн,"Печерський,",,"{'lat': 50.4109729, 'lng': 30.5465874}",Дружби народів,1.98
"вул. Драгомирова, 14А",1 кімната,55 м²,37 453 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}",Дружби народів,1.951
"вул. Драгомирова, 17",3 кімнати,120 м²,82 397 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}",Дружби народів,3.161
"вул. Патріса Лумумби, 6/1",2 кімнати,120 м²,67 416 грн,"Печерський,","Палац ""Україна""","{'lat': 50.42050210000001, 'lng': 30.5305674}",Палац Україна,0.84
"вул. Драгомирова, 17",1 кімната,60 м²,33 708 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}",Дружби народів,3.161
"вул. Драгомирова, 17",3 кімнати,90 м²,48 689 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}",Дружби народів,3.161
"вул. Драгомирова, 12",5 кімнат,180 м²,78 652 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}",Дружби народів,1.833
"вул. Драгомирова, 3",5 кімнат,250 м²,131 086 грн,"Печерський,",,"{'lat': 50.4125937, 'lng': 30.5468869}",Дружби народів,1.822
"вул. Драгомирова, 12",3 кімнати,90 м²,44 944 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}",Дружби народів,1.833
"вул. Драгомирова, 3",3 кімнати,130 м²,74 906 грн,"Печерський,",,"{'lat': 50.4125937, 'lng': 30.5468869}",Дружби народів,1.822
"вул. Драгомирова, 12",3 кімнати,135 м²,48 689 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}",Дружби народів,1.833
"вул. Драгомирова, 11",4 кімнати,145 м²,93 633 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}",Дружби народів,2.883
"Максимовича Михайла вулиця, 3Д",1 кімната,52 м²,15 000 грн,"Голосіївський,",Васильківська,"{'lat': 50.3906335, 'lng': 30.4795959}",Виставковий центр,1.621
"вул. Максимовича, 3Д",1 кімната,52 м²,15 000 грн,"Голосіївський,",Васильківська,"{'lat': 50.3906335, 'lng': 30.4795959}",Виставковий центр,1.621
"просп. Володимира Івасюка, 10А",5 кімнат,265 м²,74 906 грн,"Оболонський,",Оболонь,"{'lat': 50.4999139, 'lng': 30.5166294}",Оболонь,2.607
"вул. Панаса Мирного, 12",4 кімнати,186 м²,41 198 грн,"Печерський,",Печерська,"{'lat': 50.4333991, 'lng': 30.5417311}",Печерська,1.155
"вул. Велика Васильківська, 29",2 кімнати,56 м²,26 217 грн,"Печерський,",Площа Льва Толстого,"{'lat': 50.4381701, 'lng': 30.5164187}",Площа Льва Толстого,0.302
просп. Володимира Івасюка,4 кімнати,200 м²,56 180 грн,"Оболонський,",Оболонь,"{'lat': 50.5055143, 'lng': 30.5101803}",Оболонь,1.741
"вул. Михайлівська, 24Б",4 кімнати,200 м²,59 925 грн,"Шевченківський,",,"{'lat': 50.454226, 'lng': 30.522848}",Васильківська,0.65
"вул. Хрещатик, 15",3 кімнати,130 м²,37 453 грн,"Печерський,",,"{'lat': 50.4476282, 'lng': 30.5256784}",Майдан Незалежності,0.061
"вул. Предславинська, 42",3 кімнати,86 м²,56 180 грн,"Печерський,",Либідська,"{'lat': 50.4155115, 'lng': 30.5252012}",Либідська,1.205
"вул. Ревуцького, 40В",2 кімнати,72 м²,20 000 грн,"Дарницький,",Харківська,"{'lat': 50.4038131, 'lng': 30.6485654}",Харківська,1.734
"Максимовича вулиця, 3Д",1 кімната,52 м²,15 000 грн,"Голосіївський,",Васильківська,"{'lat': 50.3906335, 'lng': 30.4795959}",Виставковий центр,1.621
"вул. Максимовича, 3Д",1 кімната,52 м²,15 000 грн,"Голосіївський,",Васильківська,"{'lat': 50.3906335, 'lng': 30.4795959}",Виставковий центр,1.621
"вул. Івана Миколайчука, 17/2",3 кімнати,62 м²,9 000 грн,"Дніпровський,",Лівобережна,"{'lat': 50.434379, 'lng': 30.6091647}",Лівобережна,2.805
"вул. Старонаводницька, 4",2 кімнати,100 м²,28 090 грн,"Печерський,",Печерська,"{'lat': 50.42804779999999, 'lng': 30.544534}",Печерська,1.091
"вул. Хрещатик, 25",2 кімнати,80 м²,56 180 грн,"Печерський,",Хрещатик,"{'lat': 50.44446250000001, 'lng': 30.5227786}",Театральна,5.02
"Маккейна Джона вулиця, 23А",1 кімната,74 м²,31 835 грн,,Либідська,"{'lat': 50.4191673, 'lng': 30.538941}",Дружби народів,1.111
"вул. Михайла Бойчука, 37",2 кімнати,48 м²,9 999 грн,"Печерський,",Видубичі,"{'lat': 50.4073501, 'lng': 30.5526218}",Дружби народів,2.25
"вул. Клавдіївська, 23/15",2 кімнати,55 м²,9 999 грн,"Святошинський,",Академмістечко,"{'lat': 50.4777385, 'lng': 30.3448927}",Святошин,3.13
"пров. Приладний, 10Б",1 кімната,43 м²,10 500 грн,"Деснянський,",Академмістечко,"{'lat': 50.4733084, 'lng': 30.3643253}",Академмістечко,3.354
"вул. Академіка Заболотного, 1А",2 кімнати,44 м²,21 000 грн,"Голосіївський,",Теремки,"{'lat': 50.3709417, 'lng': 30.4608937}",Теремки,6.185
"вул. Рогнідинська, 1/13",5 кімнат,160 м²,35 500 грн,"Печерський,",Площа Льва Толстого,"{'lat': 50.43993, 'lng': 30.519892}",Площа Льва Толстого,1.874
вул. Ревуцького,1 кімната,25 м²,8 000 грн,"Дарницький,",Харківська,"{'lat': 50.4092216, 'lng': 30.647413}",Харківська,2.208
"вул. Драгомирова, 17",3 кімнати,90 м²,59 925 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}",Дружби народів,3.161
"вул. Тираспольська, 52",1 кімната,25 м²,12 000 грн,"Подільський,",Сирець,"{'lat': 50.4811828, 'lng': 30.4261243}",Сирець,3.237
"вул. Авіоконструктора Антонова, 4",2 кімнати,43 м²,10 000 грн,"Солом'янський,",,"{'lat': 50.4312475, 'lng': 30.4590356}",Політехнічний інститут,4.758
"вул. Драгомирова, 15",1 кімната,50 м²,29 963 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}",Дружби народів,2.951
"вул. Драгомирова, 9",4 кімнати,120 м²,93 633 грн,"Печерський,",,"{'lat': 50.4101218, 'lng': 30.5465873}",Дружби народів,2.145
вул. Пушкінська,2 кімнати,60 м²,25 900 грн,"Шевченківський,",Театральна,"{'lat': 50.4437775, 'lng': 30.5175565}",Театральна,0.229
вул. Пушкінська,2 кімнати,60 м²,25 900 грн,"Шевченківський,",Театральна,"{'lat': 50.4437775, 'lng': 30.5175565}",Театральна,0.229
"вул. Шота Руставелі, 17",4 кімнати,154 м²,39 000 грн,"Печерський,",Палац спорту,"{'lat': 50.4385825, 'lng': 30.5197599}",Палац спорту,0.185
"наб. Дніпровська, 1А",4 кімнати,148 м²,29 963 грн,"Дніпровський,",Дніпро,"{'lat': 50.4287798, 'lng': 30.5945635}",Гідропарк,6.541
"вул. Сікорського, 6",1 кімната,25 м²,6 499 грн,"Шевченківський,",Берестейська,"{'lat': 50.4650983, 'lng': 30.4290592}",Берестейська,1.645
"вул. Солом'янська, 15А",3 кімнати,132 м²,48 689 грн,"Солом'янський,",Олімпійська,"{'lat': 50.424757, 'lng': 30.4783093}",Вокзальна,4.144
"вул. Зарічна, 2",2 кімнати,68 м²,48 689 грн,"Дарницький,",Славутич,"{'lat': 50.3958164, 'lng': 30.6057436}",Славутич,1.939
просп. Володимира Івасюка,2 кімнати,53 м²,7 000 грн,"Оболонський,",,"{'lat': 50.5055143, 'lng': 30.5101803}",Оболонь,1.741
"вул. Саксаганського, 147/5",2 кімнати,70 м²,22 472 грн,"Шевченківський,",Вокзальна,"{'lat': 50.4457015, 'lng': 30.4945375}",Вокзальна,0.893
"вул. Менделєєва, 19",2 кімнати,40 м²,23 000 грн,"Печерський,",Либідська,"{'lat': 50.4106295, 'lng': 30.5359716}",Либідська,3.885
"вул. Менделєєва, 19",2 кімнати,40 м²,24 000 грн,"Печерський,",Либідська,"{'lat': 50.4106295, 'lng': 30.5359716}",Либідська,3.885
"вул. Менделєєва, 19",2 кімнати,40 м²,23 000 грн,"Печерський,",Либідська,"{'lat': 50.4106295, 'lng': 30.5359716}",Либідська,3.885
"вул. Драгомирова, 9",4 кімнати,115 м²,48 689 грн,"Печерський,",Дружби народів,"{'lat': 50.4101218, 'lng': 30.5465873}",Дружби народів,2.145
"вул. Саперне Поле, 3",2 кімнати,94 м²,56 180 грн,"Печерський,",Либідська,"{'lat': 50.4193434, 'lng': 30.530259}",Палац Україна,0.964
"просп. Голосіївський, 60",2 кімнати,100 м²,37 453 грн,"Голосіївський,",Деміївська,"{'lat': 50.401103, 'lng': 30.5120993}",Голосіївська,0.62
"бул. Верховної Ради, 14А",1 кімната,28 м²,4 000 грн,"Дніпровський,",Дарниця,"{'lat': 50.44748, 'lng': 30.6190962}",Дарниця,1.691
"вул. Алма-Атинська, 39В",2 кімнати,56 м²,8 500 грн,"Дніпровський,",Чернігівська,"{'lat': 50.4437834, 'lng': 30.6620309}",Лісова,7.24
вул. Ірпінська,2 кімнати,72 м²,8 000 грн,"Святошинський,",Житомирська,"{'lat': 50.4599864, 'lng': 30.3509971}",Академмістечко,2.835
"вул. Генерала Потапова, 4",1 кімната,32 м²,6 000 грн,"Святошинський,",,"{'lat': 50.4230877, 'lng': 30.3852569}",Житомирська,6.254
"вул. Велика Житомирська, 27",3 кімнати,73 м²,48 689 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4551969, 'lng': 30.5108248}",Васильківська,1.383
вул. Урлівська,1 кімната,47 м²,10 000 грн,"Дарницький,",Осокорки,"{'lat': 50.4085597, 'lng': 30.6191577}",Позняки,1.852
"вул. Архітектора Городецького, 12/3",3 кімнати,80 м²,21 000 грн,"Печерський,",Хрещатик,"{'lat': 50.44641799999999, 'lng': 30.526899}",Майдан Незалежності,0.331
"вул. Драгомирова, 15",1 кімната,60 м²,29 963 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}",Дружби народів,2.951
"вул. Пожарського, 8",3 кімнати,62 м²,9 000 грн,"Дніпровський,",Дарниця,"{'lat': 50.45381769999999, 'lng': 30.6230362}",Дарниця,0.957
"Тверський туп., 5",2 кімнати,54 м²,28 090 грн,"Печерський,","Палац ""Україна""","{'lat': 50.4230107, 'lng': 30.5314246}",Печерська,0.967
"просп. Берестейський(Перемоги), 71А",2 кімнати,55 м²,16 854 грн,"Святошинський,",Нивки,"{'lat': 50.45709000000001, 'lng': 30.401872}",Нивки,0.401
"вул. Драгомирова, 15",1 кімната,50 м²,29 963 грн,"Печерський,",Дружби народів,"{'lat': 50.408789, 'lng': 30.5449542}",Дружби народів,2.951
"вул. Юрія Кондратюка, 4Б",1 кімната,24 м²,8 000 грн,"Оболонський,",Мінська,"{'lat': 50.524074, 'lng': 30.456631}",Героїв Дніпра,5.859
"вул. Драгомирова, 11",2 кімнати,68 м²,56 180 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}",Дружби народів,2.883
"вул. Драгомирова, 14А",1 кімната,55 м²,37 453 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}",Дружби народів,1.951
