Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро
"вул. Саперне Поле, 3",3 кімнати,94 м²,71 161 грн,"Печерський,",
"просп. Берестейський(Перемоги), 146/2",3 кімнати,68 м²,12 500 грн,"Святошинський,",Житомирська
"просп. Лобановського, 146Б",2 кімнати,51 м²,25 000 грн,"Голосіївський,",
вул. Йорданська,2 кімнати,56 м²,9 500 грн,"Оболонський,",Оболонь
"пров. Приладний, 10",2 кімнати,60 м²,11 000 грн,"Святошинський,",Академмістечко
"вул. Ковпака, 17",3 кімнати,103 м²,18 727 грн,"Печерський,",Либідська
"просп. Володимира Івасюка, 12Ж",3 кімнати,122 м²,27 000 грн,"Оболонський,",Оболонь
"вул. Драгомирова, 9",2 кімнати,68 м²,41 198 грн,"Печерський,",
"вул. Драгомирова, 17",3 кімнати,90 м²,59 925 грн,"Печерський,",
"вул. Драгомирова, 17",3 кімнати,90 м²,48 689 грн,"Печерський,",
"вул. Драгомирова, 14А",1 кімната,52 м²,41 198 грн,"Печерський,",
"вул. Драгомирова, 20",3 кімнати,90 м²,67 416 грн,"Печерський,",
"вул. Драгомирова, 20",4 кімнати,150 м²,59 925 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 3",5 кімнат,250 м²,131 086 грн,"Печерський,",
"вул. Драгомирова, 15",1 кімната,50 м²,29 963 грн,"Печерський,",
"вул. Драгомирова, 20",4 кімнати,190 м²,168 539 грн,"Печерський,",
"вул. Драгомирова, 3",3 кімнати,130 м²,74 906 грн,"Печерський,",
"вул. Драгомирова, 2А",2 кімнати,105 м²,44 944 грн,"Печерський,",
"вул. Драгомирова, 20",2 кімнати,60 м²,33 708 грн,"Печерський,",
"вул. Драгомирова, 12",3 кімнати,135 м²,48 689 грн,"Печерський,",
"вул. Драгомирова, 11",2 кімнати,68 м²,56 180 грн,"Печерський,",
"вул. Драгомирова, 15",3 кімнати,90 м²,59 925 грн,"Печерський,",
"вул. Саперне Поле, 3",3 кімнати,99 м²,93 633 грн,"Печерський,",
"вул. Драгомирова, 15",2 кімнати,60 м²,29 963 грн,"Печерський,",
"вул. Драгомирова, 14",4 кімнати,160 м²,67 416 грн,"Печерський,",
"вул. Драгомирова, 12",5 кімнат,180 м²,78 652 грн,"Печерський,",
"вул. Саперне Поле, 3",3 кімнати,94 м²,71 161 грн,"Печерський,",
"вул. Саперне Поле, 3",3 кімнати,92 м²,78 652 грн,"Печерський,",
"вул. Драгомирова, 12",3 кімнати,90 м²,44 944 грн,"Печерський,",
"вул. Драгомирова, 11",3 кімнати,115 м²,74 906 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 20",3 кімнати,115 м²,63 670 грн,"Печерський,",
"вул. Драгомирова, 15",3 кімнати,140 м²,78 652 грн,"Печерський,",
"вул. Драгомирова, 11",4 кімнати,145 м²,93 633 грн,"Печерський,",
"вул. Драгомирова, 7",2 кімнати,90 м²,63 670 грн,"Печерський,",
"вул. Драгомирова, 14А",1 кімната,55 м²,37 453 грн,"Печерський,",
"вул. Драгомирова, 17",3 кімнати,120 м²,82 397 грн,"Печерський,",
"вул. Патріса Лумумби, 6/1",2 кімнати,120 м²,67 416 грн,"Печерський,","Палац ""Україна"""
"вул. Драгомирова, 17",1 кімната,60 м²,33 708 грн,"Печерський,",
"вул. Драгомирова, 17",3 кімнати,90 м²,48 689 грн,"Печерський,",
"вул. Драгомирова, 12",5 кімнат,180 м²,78 652 грн,"Печерський,",
"вул. Драгомирова, 3",5 кімнат,250 м²,131 086 грн,"Печерський,",
"вул. Драгомирова, 12",3 кімнати,90 м²,44 944 грн,"Печерський,",
"вул. Драгомирова, 3",3 кімнати,130 м²,74 906 грн,"Печерський,",
"вул. Драгомирова, 12",3 кімнати,135 м²,48 689 грн,"Печерський,",
"вул. Драгомирова, 11",4 кімнати,145 м²,93 633 грн,"Печерський,",
"Максимовича Михайла вулиця, 3Д",1 кімната,52 м²,15 000 грн,"Голосіївський,",Васильківська
"вул. Максимовича, 3Д",1 кімната,52 м²,15 000 грн,"Голосіївський,",Васильківська
"просп. Володимира Івасюка, 10А",5 кімнат,265 м²,74 906 грн,"Оболонський,",Оболонь
"вул. Панаса Мирного, 12",4 кімнати,186 м²,41 198 грн,"Печерський,",Печерська
"вул. Велика Васильківська, 29",2 кімнати,56 м²,26 217 грн,"Печерський,",Площа Льва Толстого
просп. Володимира Івасюка,4 кімнати,200 м²,56 180 грн,"Оболонський,",Оболонь
"вул. Михайлівська, 24Б",4 кімнати,200 м²,59 925 грн,"Шевченківський,",
"вул. Хрещатик, 15",3 кімнати,130 м²,37 453 грн,"Печерський,",
"вул. Предславинська, 42",3 кімнати,86 м²,56 180 грн,"Печерський,",Либідська
"вул. Ревуцького, 40В",2 кімнати,72 м²,20 000 грн,"Дарницький,",Харківська
