Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро
"вул. Драгомирова, 16",2 кімнати,50 м²,37 453 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 17",3 кімнати,90 м²,61 798 грн,"Печерський,",
"вул. Драгомирова, 12",2 кімнати,85 м²,29 963 грн,"Печерський,",
"вул. Драгомирова, 12",5 кімнат,250 м²,104 869 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 17",2 кімнати,55 м²,37 453 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 12",3 кімнати,135 м²,48 689 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 17",1 кімната,60 м²,29 963 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 11",3 кімнати,120 м²,104 869 грн,"Печерський,",Дружби народів
"вул. Ділова, 1/2",2 кімнати,45 м²,44 944 грн,"Печерський,",Олімпійська
"вул. Драгомирова, 15",4 кімнати,130 м²,93 633 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 16",2 кімнати,90 м²,41 198 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 7",2 кімнати,85 м²,37 453 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 3",3 кімнати,90 м²,33 708 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 15",4 кімнати,130 м²,93 633 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 9",2 кімнати,60 м²,20 599 грн,"Печерський,",Дружби народів
"бул. Лесі Українки, 7Б",3 кімнати,136 м²,44 944 грн,"Печерський,",Кловська
"вул. Болсуновська, 2",3 кімнати,126 м²,119 850 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 20",3 кімнати,90 м²,41 198 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 3",3 кімнати,121 м²,74 906 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 11",3 кімнати,151 м²,56 180 грн,"Печерський,",
"вул. Драгомирова, 15",5 кімнат,205 м²,93 633 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 11",3 кімнати,151 м²,56 180 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 16",2 кімнати,60 м²,41 198 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 18",4 кімнати,160 м²,74 906 грн,"Печерський,",Дружби народів
"вул. Василя Тютюнника, 37/1",2 кімнати,50 м²,561 798 грн,"Печерський,","Палац ""Україна"""
"вул. Драгомирова, 12",3 кімнати,150 м²,56 180 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 18",3 кімнати,160 м²,67 416 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 18",4 кімнати,260 м²,168 539 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 18",1 кімната,50 м²,26 217 грн,"Печерський,",Дружби народів
"вул. Саперне Поле, 5",2 кімнати,72 м²,52 434 грн,"Печерський,",Либідська
"вул. Драгомирова, 18",5 кімнат,250 м²,138 577 грн,"Печерський,",
вул. Драгомирова,2 кімнати,60 м²,44 944 грн,"Печерський,",
"вул. Драгомирова, 11",3 кімнати,180 м²,183 521 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 9",3 кімнати,115 м²,112 360 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 16",5 кімнат,205 м²,93 633 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 18",2 кімнати,65 м²,37 453 грн,"Печерський,",
"наб. Оболонська, 11",4 кімнати,240 м²,93 633 грн,"Оболонський,",Почайна(Петрівка)
"вул. Драгомирова, 18",2 кімнати,85 м²,41 198 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 18",2 кімнати,90 м²,56 180 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 18",3 кімнати,85 м²,48 689 грн,"Печерський,",
"вул. Драгомирова, 18",2 кімнати,56 м²,44 944 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 18",4 кімнати,260 м²,149 813 грн,"Печерський,",Дружби народів
"бул. Лесі Українки, 8",3 кімнати,90 м²,101 124 грн,"Печерський,",Кловська
"вул. Михайла Грушевського, 34",3 кімнати,80 м²,26 217 грн,"Печерський,",Арсенальна
"вул. Велика Васильківська, 15",3 кімнати,100 м²,56 180 грн,"Шевченківський,",Васильківська
"вул. Патріса Лумумби, 12",2 кімнати,65 м²,48 689 грн,"Печерський,",
"узвіз Кловський, 5",2 кімнати,85 м²,37 453 грн,"Печерський,",Кловська
"вул. Глибочицька, 32а",2 кімнати,144 м²,37 453 грн,"Шевченківський,",Контрактова площа
"вул. Олеся Гончара, 2",2 кімнати,90 м²,26 217 грн,"Шевченківський,",Університет
"вул. Микільсько-Слобідська, 1",3 кімнати,115 м²,59 925 грн,"Дніпровський,",Славутич
"вул. Василя Тютюнника, 51/2",2 кімнати,76 м²,29 963 грн,"Печерський,","Палац ""Україна"""
"просп. Голосіївський, 60",2 кімнати,93 м²,41 198 грн,"Голосіївський,",Либідська
"вул. Драгомирова, 18",2 кімнати,90 м²,35 581 грн,"Печерський,",
"вул. Волоська, 51",3 кімнати,135 м²,29 963 грн,"Подільський,",Контрактова площа
"вул. Драгомирова, 18",2 кімнати,52 м²,31 835 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 18",2 кімнати,85 м²,31 835 грн,"Печерський,",
"вул. Саперне Поле, 5",3 кімнати,75 м²,48 689 грн,"Печерський,",
"вул. Горького, 44",1 кімната,47 м²,59 925 грн,"Голосіївський,",
"вул. Василя Тютюнника, 37/1",3 кімнати,115 м²,56 180 грн,"Печерський,",
"вул. Драгомирова, 18",2 кімнати,87 м²,37 453 грн,"Печерський,",Дружби народів
"вул. Саперне Поле, 5",3 кімнати,75 м²,48 689 грн,"Печерський,",
"вул. Верхня, 3",2 кімнати,65 м²,27 000 грн,"Печерський,",
"вул. Ділова, 1/2",3 кімнати,100 м²,101 124 грн,"Печерський,",
"просп. Академіка Глушкова, 9д",3 кімнати,90 м²,26 217 грн,"Голосіївський,",Теремки
"вул. Предславинська, 40",4 кімнати,110 м²,74 906 грн,"Шевченківський,",
"вул. Паньківська, 27-28",3 кімнати,110 м²,35 433 грн,"Шевченківський,",
"вул. Полтавська, 10",2 кімнати,84 м²,26 217 грн,"Шевченківський,",Лук'янівська
"вул. Пирогова, 5",2 кімнати,45 м²,112 360 грн,"Шевченківський,",Університет
"вул. Драгомирова, 18",2 кімнати,85 м²,41 198 грн,"Печерський,",
"вул. Саперне Поле, 14/55",2 кімнати,50 м²,29 963 грн,"Печерський,",Дружби народів
"вул. Предславинська, 42а",2 кімнати,63 м²,33 708 грн,"Печерський,",Дружби народів
"вул. Академика Філатова, 53",3 кімнати,90 м²,33 708 грн,"Печерський,",
"вул. Драгомирова, 18",1 кімната,50 м²,29 963 грн,"Печерський,",
"пров. Лабораторний, 7",2 кімнати,77 м²,41 198 грн,"Печерський,",
"вул. Тургенєвська, 41/11",4 кімнати,222 м²,112 360 грн,"Шевченківський,",Лук'янівська
"вул. Феодосійська, 2",3 кімнати,65 м²,30 000 грн,"Голосіївський,",Деміївська
"вул. Панаса Мирного, 17",4 кімнати,137 м²,43 071 грн,"Печерський,",Кловська
"вул. Старонаводницька, 11",2 кімнати,100 м²,31 835 грн,"Печерський,",
"вул. Академика Філатова, 53",2 кімнати,72 м²,33 708 грн,"Печерський,",Либідська
"вул. Коновальця Євгена, 34",3 кімнати,98 м²,74 906 грн,"Печерський,",
"вул. Ділова, 2д",3 кімнати,120 м²,44 944 грн,"Печерський,",
"вул. Феодосійська, 1",3 кімнати,65 м²,30 000 грн,"Печерський,",
"узвіз Кловський, 7",3 кімнати,159 м²,52 434 грн,"Печерський,",Арсенальна
"Барбюса) (Анрі Тютюнника Василя вулиця, 22/26",3 кімнати,90 м²,37 453 грн,"Голосіївський,",
"пров. Лабораторний, 7",2 кімнати,77 м²,41 198 грн,"Печерський,",
"вул. Лесі Українки, 7б",2 кімнати,92 м²,35 000 грн,"Печерський,",
"вул. Михайла Грушевського, 28",3 кімнати,80 м²,29 963 грн,"Печерський,",
"Тверський туп., 7б",2 кімнати,55 м²,29 963 грн,"Печерський,",
"Кудрі) (Івана Джона Маккейна вулиця, 7",2 кімнати,60 м²,41 198 грн,"Печерський,",
"вул. Маккейна Джона, 7",3 кімнати,75 м²,44 944 грн,"Печерський,",
"вул. Драгомирова, 20",2 кімнати,92 м²,41 198 грн,"Печерський,",Дружби народів
"вул. Кудрявська, 3б",2 кімнати,80 м²,29 963 грн,"Шевченківський,",
"вул. Саперне Поле, 5",4 кімнати,140 м²,149 813 грн,"Печерський,",Васильківська
"бул. Лесі Українки, 7в",2 кімнати,60 м²,48 689 грн,"Печерський,",Печерська
"вул. Глибочицька, 32а",3 кімнати,95 м²,44 944 грн,"Подільський,",Лук'янівська
"вул. Саксаганського, 37к",2 кімнати,67 м²,33 708 грн,"Голосіївський,",Олімпійська
"бул. Лесі Українки, 8",2 кімнати,89 м²,63 670 грн,"Печерський,",
"вул. Інститутська, 18",2 кімнати,150 м²,93 633 грн,"Печерський,",
"вул. Маккейна Джона, 7",2 кімнати,50 м²,29 963 грн,"Печерський,",Либідська
"вул. Володимирська, 9",2 кімнати,43 м²,44 944 грн,"Печерський,",
"вул. Коновальця Євгена, 32г",3 кімнати,128 м²,39 326 грн,"Печерський,",
"вул. Пушкінська, 21",5 кімнат,220 м²,67 416 грн,"Печерський,",
"вул. Коновальця Євгена, 34",2 кімнати,70 м²,33 708 грн,"Печерський,",
"Павлівська вулиця, 26/41",3 кімнати,132 м²,37 453 грн,"Шевченківський,",
"вул. Отто Шмідта, 2/1",2 кімнати,80 м²,37 453 грн,"Подільський,",Тараса Шевченка
"вул. Отто Шмідта, 2/1",2 кімнати,80 м²,37 453 грн,"Подільський,",Тараса Шевченка
"вул. Маккейна Джона, 7",2 кімнати,55 м²,37 453 грн,"Печерський,",
"Глибочицька вулиця, 32а",3 кімнати,144 м²,35 000 грн,"Шевченківський,",
"Федорова Івана вулиця, 2а",2 кімнати,60 м²,48 689 грн,"Печерський,",
"Зарічна вулиця, 2а",4 кімнати,102 м²,56 180 грн,"Дарницький,",
"вул. Льва Толстого, 25",3 кімнати,124 м²,56 180 грн,"Шевченківський,",Університет
"вул. Маккейна Джона, 7",3 кімнати,70 м²,52 434 грн,"Печерський,",
"вул. Дмитрівська (Куренівка), 75",5 кімнат,180 м²,86 142 грн,"Шевченківський,",
"вул. Предславинська, 7",2 кімнати,70 м²,44 906 грн,"Печерський,",
"вул. Драгомирова, 18",3 кімнати,83 м²,37 453 грн,"Печерський,",
"бул. Лесі Українки, 8",2 кімнати,60 м²,44 944 грн,"Печерський,",
"вул. Набережно-Рибальська, 9",3 кімнати,150 м²,56 180 грн,"Подільський,",Контрактова площа
"наб. Дніпровська, 18",2 кімнати,64 м²,24 000 грн,"Дарницький,",Славутич
"вул. Жилянська, 59",4 кімнати,170 м²,37 453 грн,"Подільський,",
"вул. Ділова, 1/2",2 кімнати,50 м²,48 689 грн,"Печерський,",
"вул. Ділова, 1/2",2 кімнати,50 м²,56 180 грн,"Печерський,",
"вул. Драгомирова, 4Б",2 кімнати,70 м²,44 944 грн,"Печерський,",
"вул. Драгомирова, 4Б",2 кімнати,100 м²,63 670 грн,"Печерський,",Дружби народів
"вул. Пирогова, 2В",3 кімнати,110 м²,67 416 грн,"Шевченківський,",Університет
"вул. Олеся Гончара, 35",3 кімнати,100 м²,104 869 грн,"Шевченківський,",Вокзальна
"вул. Драгомирова, 20",2 кімнати,80 м²,37 453 грн,"Печерський,",Дружби народів
"бул. Лесі Українки, 7Б",4 кімнати,160 м²,74 906 грн,"Печерський,",
Лікарняний провулок,3 кімнати,130 м²,93 633 грн,"Печерський,",
"бул. Лесі Українки, 7В",2 кімнати,65 м²,37 453 грн,"Печерський,",Кловська
"вул. Ділова, 1/2",3 кімнати,110 м²,157 303 грн,"Печерський,",
"пров. Виноградний, 4",3 кімнати,130 м²,67 416 грн,"Шевченківський,",Золоті ворота
"вул. Ділова, 1/2",3 кімнати,103 м²,74 906 грн,"Печерський,",Олімпійська
"пров. Лабораторний, 7",2 кімнати,65 м²,29 963 грн,"Печерський,",
"бул. Лесі Українки, 7А",3 кімнати,141 м²,67 416 грн,"Печерський,",Кловська
"вул. Дмитрівська, 12А",4 кімнати,150 м²,26 217 грн,"Шевченківський,",Лук'янівська
"вул. Коновальця Євгена, 26А",4 кімнати,130 м²,93 633 грн,"Печерський,",Печерська
"вул. Коновальця Євгена, 34А",3 кімнати,127 м²,56 180 грн,"Печерський,",Печерська
"вул. Білоруська, 36А",2 кімнати,61 м²,28 090 грн,"Шевченківський,",Лук'янівська
"вул. Саперне Поле, 5",3 кімнати,100 м²,59 925 грн,"Печерський,",
"вул. Московська, 46/2",3 кімнати,155 м²,29 963 грн,"Шевченківський,",Хрещатик
"вул. Ділова, 2Б",2 кімнати,70 м²,44 944 грн,"Печерський,",Олімпійська
"вул. Довнар-Запольського, 3/1",2 кімнати,105 м²,29 963 грн,"Шевченківський,",
"вул. Університетська, 23-27",2 кімнати,73 м²,37 453 грн,"Солом'янський,",
"вул. Драгомирова, 3",3 кімнати,92 м²,108 614 грн,"Печерський,",Дружби народів
"вул. Круглоуніверситетська, 3-5",4 кімнати,180 м²,63 670 грн,"Печерський,",Хрещатик
"вул. Богдана Хмельницького, 58А",3 кімнати,114 м²,93 633 грн,"Шевченківський,",Золоті ворота
"вул. Ділова, 1/2",2 кімнати,56 м²,56 180 грн,"Печерський,",
"вул. Предславинська, 42А",4 кімнати,110 м²,74 906 грн,"Печерський,",Либідська
"вул. Бульварно-Кудрявська, 15А",1 кімната,50 м²,26 217 грн,"Шевченківський,",
"вул. Володимирська, 49",4 кімнати,210 м²,108 614 грн,"Печерський,",Золоті ворота
"вул. Саксаганського, 70А",2 кімнати,93 м²,48 689 грн,"Солом'янський,",
"вул. Маккейна Джона, 1Б",2 кімнати,63 м²,44 944 грн,"Печерський,",Либідська
"вул. Саперне Поле, 5",2 кімнати,55 м²,41 198 грн,"Печерський,",Либідська
"пров. Лабораторний, 7",2 кімнати,60 м²,33 708 грн,"Печерський,","Палац ""Україна"""
"вул. Василя Тютюнника, 51/2",3 кімнати,80 м²,39 326 грн,"Печерський,",
"вул. Маккейна Джона, 2Б",2 кімнати,60 м²,33 708 грн,"Печерський,",Дружби народів
"вул. Деміївська, 62",2 кімнати,65 м²,37 453 грн,"Голосіївський,",Деміївська
"вул. Володимирська, 49А",3 кімнати,158 м²,56 180 грн,"Печерський,",Золоті ворота
"вул. Дмитрівська, 80",4 кімнати,120 м²,65 000 грн,"Шевченківський,",
"вул. Юрія Шумського, 3Г",4 кімнати,113 м²,37 453 грн,"Дніпровський,",
"вул. Володимирська, 49А",4 кімнати,164 м²,74 906 грн,"Печерський,",Золоті ворота
"вул. Старонаводницька, 13",5 кімнат,170 м²,67 416 грн,"Печерський,",Печерська
"вул. Левка Лук'яненка, 21/3",3 кімнати,125 м²,37 453 грн,"Оболонський,",Мінська
"вул. Коновальця Євгена, 26А",3 кімнати,204 м²,123 595 грн,"Печерський,",Дружби народів
"вул. Предславинська, 42А",2 кімнати,55 м²,37 453 грн,,
"вул. Василя Тютюнника, 37/1",2 кімнати,60 м²,20 000 грн,"Печерський,",Печерська
"вул. Предславинська, 42А",3 кімнати,84 м²,56 180 грн,"Печерський,",Либідська
"вул. Володимирська, 49А",4 кімнати,155 м²,44 944 грн,"Шевченківський,",Золоті ворота
"вул. Буслівська, 12",3 кімнати,120 м²,168 539 грн,"Печерський,",
"вул. Патріса Лумумби, 11",2 кімнати,57 м²,29 963 грн,"Печерський,",
"вул. Деміївська, 62",3 кімнати,120 м²,37 453 грн,"Голосіївський,",
"вул. Деміївська, 62",2 кімнати,101 м²,74 906 грн,"Голосіївський,",Деміївська
"вул. Сергія Колоса, 2",2 кімнати,50 м²,41 198 грн,"Голосіївський,",Дружби народів
"вул. Жилянська, 68",2 кімнати,56 м²,44 944 грн,"Голосіївський,",Університет
"вул. Саперне Поле, 5",2 кімнати,91 м²,52 434 грн,"Печерський,",
"вул. Золотоустівська, 22",2 кімнати,50 м²,29 963 грн,"Шевченківський,",Лук'янівська
"вул. Жилянська, 68",2 кімнати,50 м²,26 217 грн,"Голосіївський,",
"вул. Авіоконструктора Антонова, 2Б",4 кімнати,130 м²,46 816 грн,"Солом'янський,",Вокзальна
"вул. Івана Мазепи, 3Б",3 кімнати,86 м²,59 925 грн,"Печерський,",Арсенальна
"вул. Горького, 44",3 кімнати,105 м²,90 000 грн,"Голосіївський,",
"вул. Академика Філатова, 53",3 кімнати,110 м²,56 180 грн,"Печерський,",
"вул. Драгомирова, 2А",2 кімнати,110 м²,56 180 грн,"Печерський,",
"вул. Василя Тютюнника, 5",3 кімнати,80 м²,28 000 грн,"Печерський,",Дружби народів
"вул. Саперне Поле, 5",1 кімната,55 м²,37 453 грн,"Печерський,",
"вул. Антоновича, 109",2 кімнати,56 м²,33 708 грн,"Голосіївський,",
"вул. Драгомирова, 20",3 кімнати,150 м²,93 633 грн,"Печерський,",
"вул. Драгомирова, 9",4 кімнати,186 м²,131 086 грн,"Печерський,",
"вул. Драгомирова, 15А",5 кімнат,190 м²,224 719 грн,"Печерський,",
"вул. Драгомирова, 7",2 кімнати,188 м²,168 539 грн,"Печерський,",
"вул. Драгомирова, 14",3 кімнати,155 м²,82 397 грн,"Печерський,",
"вул. Драгомирова, 7",4 кімнати,210 м²,224 719 грн,"Печерський,",
"вул. Драгомирова, 14",4 кімнати,150 м²,74 906 грн,"Печерський,",
"вул. Драгомирова, 9",4 кімнати,217 м²,168 539 грн,"Печерський,",
"вул. Драгомирова, 9",3 кімнати,120 м²,149 813 грн,"Печерський,",
"вул. Драгомирова, 20",3 кімнати,150 м²,74 906 грн,"Печерський,",
"вул. Драгомирова, 15",5 кімнат,193 м²,224 719 грн,"Печерський,",
"вул. Драгомирова, 7",4 кімнати,210 м²,187 266 грн,"Печерський,",
"вул. Драгомирова, 11",4 кімнати,180 м²,183 521 грн,"Печерський,",
"вул. Драгомирова, 9",5 кімнат,200 м²,82 397 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 9",3 кімнати,115 м²,112 360 грн,"Печерський,",
"вул. Драгомирова, 7",4 кімнати,180 м²,187 266 грн,"Печерський,",
"вул. Драгомирова, 14",4 кімнати,150 м²,84 270 грн,"Печерський,",
"вул. Драгомирова, 15Б",4 кімнати,180 м²,187 266 грн,"Печерський,",
"вул. Драгомирова, 15Б",4 кімнати,180 м²,187 266 грн,"Печерський,",
"вул. Драгомирова, 11",4 кімнати,130 м²,149 813 грн,"Печерський,",
"вул. Драгомирова, 15",5 кімнат,200 м²,168 539 грн,"Печерський,",
"вул. Драгомирова, 11",4 кімнати,130 м²,73 034 грн,"Печерський,",
"вул. Драгомирова, 17",5 кімнат,217 м²,224 719 грн,"Печерський,",
"вул. Драгомирова, 16",3 кімнати,115 м²,74 906 грн,"Печерський,",
"вул. Драгомирова, 11",5 кімнат,210 м²,299 625 грн,"Печерський,",
"вул. Драгомирова, 15А",4 кімнати,150 м²,142 322 грн,"Печерський,",
"вул. Драгомирова, 1-20а",5 кімнат,200 м²,119 850 грн,"Печерський,",
"вул. Драгомирова, 18А",4 кімнати,170 м²,123 595 грн,"Печерський,",
"вул. Драгомирова, 5",3 кімнати,160 м²,112 360 грн,"Печерський,",
"вул. Драгомирова, 20",3 кімнати,150 м²,74 906 грн,"Печерський,",
"вул. Драгомирова, 7",4 кімнати,190 м²,205 992 грн,"Печерський,",
"вул. Драгомирова, 16",2 кімнати,115 м²,71 161 грн,"Печерський,",
"вул. Драгомирова, 11",3 кімнати,180 м²,183 521 грн,"Печерський,",
"вул. Драгомирова, 11",4 кімнати,160 м²,123 595 грн,"Печерський,",
"вул. Драгомирова, 20",4 кімнати,180 м²,74 906 грн,"Печерський,",
"вул. Драгомирова, 11",3 кімнати,180 м²,183 521 грн,"Печерський,",
"вул. Драгомирова, 11",4 кімнати,155 м²,93 633 грн,"Печерський,",
"вул. Драгомирова, 9",4 кімнати,120 м²,93 633 грн,"Печерський,",
"пл. Лесі Українки, 7Б",4 кімнати,160 м²,63 670 грн,"Печерський,",Кловська
"спуск Кловский, 7",3 кімнати,155 м²,59 925 грн,"Печерський,",Кловська
"Новоселицкая ул., 10",2 кімнати,88 м²,74 906 грн,"Печерський,",
"Глубочицкая ул., 32Б",5 кімнат,190 м²,97 378 грн,"Подільський,",
"Бусловская ул., 12",4 кімнати,150 м²,104 869 грн,"Печерський,",
"вул. Шота Руставелі, 27",3 кімнати,103 м²,74 906 грн,"Печерський,",
"Лысенко Николая, 1",3 кімнати,81 м²,74 906 грн,"Шевченківський,",Золоті ворота
"вул. Старонаводницька, 6Б",4 кімнати,152 м²,41 198 грн,"Печерський,",Печерська
"вул. Драгомирова, 20",3 кімнати,120 м²,56 180 грн,"Печерський,",
"вул. Лейпцизька, 13",4 кімнати,199 м²,224 719 грн,"Печерський,",
"вул. Сергія Колоса, 2",3 кімнати,76 м²,41 198 грн,"Печерський,",Дружби народів
"вул. Старонаводницька, 13А",4 кімнати,205 м²,37 453 грн,"Печерський,",Печерська
"вул. Академіка Кржижановського, 21",2 кімнати,56 м²,31 835 грн,"Оболонський,",Мінська
"вул. Ділова, 1/2",2 кімнати,55 м²,37 453 грн,"Печерський,",Олімпійська
"вул. Драгомирова, 20",3 кімнати,150 м²,74 906 грн,"Печерський,",
"вул. Юрія Іллєнка, 18Б",3 кімнати,146 м²,89 888 грн,"Шевченківський,",
"вул. Старонаводницька, 6Б",4 кімнати,150 м²,93 633 грн,"Печерський,",Печерська
"Деловая, 1/2",2 кімнати,72 м²,52 434 грн,"Печерський,",
"вул. Олеся Гончара, 35",3 кімнати,150 м²,112 360 грн,"Шевченківський,",
"просп. Миколи Бажана, 1Б",4 кімнати,126 м²,44 944 грн,"Дарницький,",
"вул. Інститутська, 18А",3 кімнати,145 м²,131 086 грн,"Печерський,",
"вул. Рогнідинська, 4",6 кімнат,180 м²,93 633 грн,"Печерський,",
"пров. Лабораторний, 7",4 кімнати,108 м²,67 416 грн,"Печерський,","Палац ""Україна"""
"пл. Льва Толстого, 11/61",5 кімнат,228 м²,93 633 грн,"Шевченківський,",
"вул. Льва Толстого, 11",5 кімнат,220 м²,112 360 грн,"Шевченківський,",
"вул. Старонаводницька, 13",5 кімнат,170 м²,56 180 грн,"Печерський,",
"вул. Гусовського, 15",2 кімнати,100 м²,74 906 грн,"Печерський,",
"вул. Саксаганського, 37",2 кімнати,65 м²,41 198 грн,"Голосіївський,",
"вул. Пирогова, 2В",3 кімнати,110 м²,67 416 грн,"Шевченківський,",
"вул. Саперне Поле, 5",5 кімнат,160 м²,205 992 грн,"Печерський,",
"вул. Драгомирова, 9",3 кімнати,120 м²,149 813 грн,"Печерський,",
"вул. Лютеранська, 21",3 кімнати,110 м²,44 944 грн,"Шевченківський,",
"вул. Січових Стрільців, 70А",3 кімнати,130 м²,70 000 грн,"Шевченківський,",
"вул. Предславинська, 53",3 кімнати,85 м²,56 180 грн,"Печерський,",
"Маккейна Джона, 1Б",3 кімнати,84 м²,56 180 грн,"Печерський,","Палац ""Україна"""
"Евгения Коновальца, 32Б",4 кімнати,150 м²,48 689 грн,"Печерський,",
"вул. Антоновича, 3",3 кімнати,120 м²,67 416 грн,"Голосіївський,",
"вул. Драгомирова, 16",3 кімнати,125 м²,56 180 грн,"Печерський,",
"Голосеевский пр-т, 58",3 кімнати,133 м²,44 944 грн,"Голосіївський,",
"вул. Інститутська, 14",2 кімнати,85 м²,56 180 грн,"Шевченківський,",
вул. Василя Тютюнника,4 кімнати,120 м²,74 906 грн,"Печерський,",
"Космонавта Комарова пр-т, 11",3 кімнати,77 м²,44 944 грн,"Солом'янський,",Хрещатик
"вул. Лейпцизька, 13",4 кімнати,199 м²,224 719 грн,"Печерський,",
"вул. Полтавська, 10",2 кімнати,85 м²,28 090 грн,"Шевченківський,",Лук'янівська
"вул. Тараса Шевченка, 27Б",4 кімнати,170 м²,59 925 грн,"Шевченківський,",
"бул. Лесі Українки, 7Б",4 кімнати,160 м²,74 906 грн,"Печерський,",
"Лабораторный пер., 7",1 кімната,45 м²,48 689 грн,"Печерський,",
"вул. Саксаганського, 121",2 кімнати,65 м²,22 500 грн,"Шевченківський,",
"вул. Панаса Мирного, 28А",3 кімнати,114 м²,44 944 грн,"Печерський,",
"вул. Хрещатик, 27Б",7 кімнат,380 м²,224 719 грн,"Печерський,",
"Нестеровский пер., 6",4 кімнати,174 м²,41 198 грн,"Шевченківський,",
"вул. Інститутська, 18А",4 кімнати,200 м²,131 086 грн,"Печерський,",
"Голосеевский пр-т, 58",4 кімнати,133 м²,56 180 грн,"Голосіївський,",
"вул. Лебедєва-Кумача, 5",3 кімнати,100 м²,44 944 грн,"Солом'янський,",
"вул. Старонаводницька, 6А",4 кімнати,140 м²,25 000 грн,"Печерський,",
"бул. Дружби Народів, 14-16",3 кімнати,153 м²,89 888 грн,"Печерський,",
"вул. Олеся Гончара, 35",3 кімнати,131 м²,93 633 грн,"Шевченківський,",
"вул. Лютеранська, 10А",4 кімнати,224 м²,41 198 грн,"Голосіївський,",
"вул. Микільсько-Слобідська, 1",3 кімнати,100 м²,56 180 грн,"Дніпровський,",Дніпро
"узвіз Андріївський, 2Б",2 кімнати,80 м²,41 198 грн,"Подільський,",
"вул. Буслівська, 12",4 кімнати,122 м²,74 906 грн,"Печерський,",
"вул. Глибочицька, 13",2 кімнати,65 м²,44 944 грн,"Шевченківський,",
"вул. Глибочицька, 13",2 кімнати,65 м²,44 944 грн,"Шевченківський,",
"просп. Берестейський(Перемоги), 26",3 кімнати,76 м²,41 198 грн,"Шевченківський,",
"Украинки Леси бул., 30Б",3 кімнати,120 м²,52 434 грн,"Печерський,",
"вул. Драгомирова, 3",3 кімнати,92 м²,108 614 грн,"Печерський,",
"вул. Старонаводницька, 6",3 кімнати,130 м²,43 071 грн,"Печерський,",Печерська
"вул. Івана Франка, 11",4 кімнати,165 м²,187 266 грн,"Шевченківський,",
"Евгения Коновальца, 26А",4 кімнати,130 м²,93 633 грн,"Печерський,",
"вул. Драгомирова, 9",3 кімнати,140 м²,149 813 грн,"Печерський,",
"Ильенко Юрия, 18Б",4 кімнати,127 м²,48 689 грн,"Шевченківський,",
"вул. Саперне Поле, 5",3 кімнати,92 м²,146 067 грн,"Печерський,",
"вул. Салютна, 1Б",3 кімнати,102 м²,48 689 грн,"Шевченківський,",
"вул. Мічуріна, 54",5 кімнат,350 м²,561 798 грн,"Печерський,",
"Михаила Грушевского, 34",2 кімнати,65 м²,20 599 грн,"Печерський,",
"Кудрі) (Івана Джона Маккейна вулиця, 7",3 кімнати,130 м²,104 869 грн,"Печерський,",
"вул. Круглоуніверситетська, 3-5",3 кімнати,123 м²,74 906 грн,"Печерський,",
"вул. Предславинська, 31/11",3 кімнати,150 м²,41 198 грн,"Печерський,",
"вул. Драгомирова, 20",3 кімнати,150 м²,74 906 грн,"Печерський,",
"пл. Бессарабська, 5",3 кімнати,116 м²,112 360 грн,"Печерський,",
"вул. Драгомирова, 15",2 кімнати,62 м²,44 944 грн,"Печерський,",
"вул. Лєскова, 1А",3 кімнати,170 м²,56 180 грн,"Печерський,",
"вул. Інститутська, 18",2 кімнати,150 м²,93 633 грн,"Печерський,",
"бул. Лесі Українки, 7А",3 кімнати,141 м²,56 180 грн,"Печерський,",
"вул. Пушкінська, 21",4 кімнати,170 м²,131 086 грн,"Печерський,",
"вул. Драгомирова, 15",3 кімнати,90 м²,59 925 грн,"Печерський,",
"переулок Михайловский, 3/16",3 кімнати,90 м²,33 708 грн,"Шевченківський,",
"вул. Дарвіна, 7",4 кімнати,120 м²,41 198 грн,"Печерський,",
"просп. Володимира Івасюка, 4",3 кімнати,130 м²,43 071 грн,"Оболонський,",
