Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро,Координати адрес
"вул. Звіринецька, 59",3 кімнати,162 м²,112 360 грн,"Печерський,",,"{'lat': 50.40776959999999, 'lng': 30.5552412}"
"вул. Предславинська, 42А",3 кімнати,91 м²,67 416 грн,,Либідська,"{'lat': 50.4156007, 'lng': 30.525237}"
"вул. Коновальця Євгена, 26А",3 кімнати,130 м²,131 086 грн,"Печерський,",Печерська,"{'lat': 50.42695519999999, 'lng': 30.5307143}"
"вул. Антоновича, 74-78",2 кімнати,57 м²,56 180 грн,"Голосіївський,",,"{'lat': 50.4261288, 'lng': 30.5140672}"
вул. Академика Філатова,2 кімнати,86 м²,41 198 грн,"Печерський,",Либідська,"{'lat': 50.4156752, 'lng': 30.5315278}"
"бул. Тараса Шевченка, 33Б",5 кімнат,261 м²,74 906 грн,"Шевченківський,",,"{'lat': 50.4456038, 'lng': 30.495987}"
"вул. Драгомирова, 14",3 кімнати,158 м²,67 416 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}"
"вул. Горького, 44",2 кімнати,51 м²,56 180 грн,"Голосіївський,",,"{'lat': 50.4336785, 'lng': 30.5131808}"
"вул. Зарічна, 16",2 кімнати,70 м²,37 453 грн,"Дарницький,",Осокорки,"{'lat': 50.3951037, 'lng': 30.6035855}"
"вул. Саперне Поле, 5",2 кімнати,60 м²,48 689 грн,"Печерський,",Либідська,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"вул. Буслівська, 12",4 кімнати,190 м²,205 992 грн,"Печерський,",Дружби народів,"{'lat': 50.4073727, 'lng': 30.5566101}"
"вул. Глибочицька, 32А",5 кімнат,190 м²,93 633 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.4615354, 'lng': 30.4932619}"
вул. Академика Філатова,3 кімнати,84 м²,37 453 грн,"Печерський,",Либідська,"{'lat': 50.4156752, 'lng': 30.5315278}"
"вул. Горького, 131",4 кімнати,220 м²,86 142 грн,"Голосіївський,",,"{'lat': 50.4182807, 'lng': 30.5201892}"
"вул. Саперне Поле, 3",3 кімнати,92 м²,65 543 грн,"Печерський,",Либідська,"{'lat': 50.4193434, 'lng': 30.530259}"
"вул. Євгена Сверстюка, 4",2 кімнати,70 м²,56 180 грн,"Дніпровський,",Лівобережна,"{'lat': 50.4485245, 'lng': 30.5996028}"
"вул. Предславинська, 55А",3 кімнати,85 м²,41 198 грн,"Печерський,",,"{'lat': 50.415869, 'lng': 30.5272892}"
"вул. Предславинська, 55А",3 кімнати,85 м²,41 198 грн,"Печерський,",,"{'lat': 50.415869, 'lng': 30.5272892}"
"просп. Академіка Глушкова, 42",4 кімнати,160 м²,56 180 грн,"Голосіївський,",Дружби народів,"{'lat': 50.36160109999999, 'lng': 30.443858}"
"вул. Драгомирова, 11",3 кімнати,115 м²,74 906 грн,"Печерський,",Дружби народів,"{'lat': 50.409347, 'lng': 30.5458778}"
"вул. Володимирська, 79",2 кімнати,100 м²,37 453 грн,"Шевченківський,",Палац спорту,"{'lat': 50.4371381, 'lng': 30.510287}"
"вул. Маккейна Джона, 1",3 кімнати,83 м²,56 180 грн,"Печерський,",Либідська,"{'lat': 50.4139129, 'lng': 30.5264399}"
"вул. Глибочицька, 32Б",5 кімнат,190 м²,97 378 грн,"Подільський,",Майдан Незалежності,"{'lat': 50.4621138, 'lng': 30.4941865}"
"вул. Предславинська, 42А",2 кімнати,84 м²,48 689 грн,,Либідська,"{'lat': 50.4156007, 'lng': 30.525237}"
"вул. В'ячеслава Чорновола, 25",5 кімнат,126 м²,37 453 грн,"Шевченківський,",Політехнічний інститут,"{'lat': 50.4530671, 'lng': 30.4849137}"
"вул. Болсуновська, 2",2 кімнати,95 м²,86 142 грн,"Печерський,",Дружби народів,"{'lat': 50.4213737, 'lng': 30.5525159}"
"просп. Володимира Івасюка, 6",3 кімнати,95 м²,44 944 грн,"Оболонський,",Оболонь,"{'lat': 50.4944968, 'lng': 30.5225088}"
"вул. Володимирська, 49А",4 кімнати,164 м²,74 906 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4475103, 'lng': 30.5145147}"
"вул. Коновальця Євгена, 26А",4 кімнати,130 м²,131 086 грн,"Печерський,",Печерська,"{'lat': 50.42695519999999, 'lng': 30.5307143}"
"вул. Драгомирова, 20",3 кімнати,120 м²,61 798 грн,"Печерський,",Дружби народів,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Золотоворітська, 13",4 кімнати,176 м²,71 161 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.449694, 'lng': 30.514012}"
"вул. Пушкінська, 21",2 кімнати,75 м²,74 906 грн,"Шевченківський,",,"{'lat': 50.443824, 'lng': 30.51796599999999}"
"просп. Голосіївський, 30Б",4 кімнати,168 м²,56 180 грн,"Голосіївський,",Деміївська,"{'lat': 50.4058645, 'lng': 30.5160392}"
"вул. Тургенєвська, 46/11",4 кімнати,222 м²,138 577 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.452396, 'lng': 30.4919732}"
"вул. Ірининська, 1/3",3 кімнати,80 м²,37 453 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.45130930000001, 'lng': 30.5164593}"
"вул. Драгомирова, 11",3 кімнати,115 м²,101 124 грн,"Печерський,",Дружби народів,"{'lat': 50.409347, 'lng': 30.5458778}"
"вул. Олеся Гончара, 35",4 кімнати,162 м²,119 850 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4510787, 'lng': 30.5074115}"
"вул. Раїси Окіпної, 18",3 кімнати,100 м²,67 416 грн,"Дарницький,",Лівобережна,"{'lat': 50.4479346, 'lng': 30.5886259}"
"вул. Костянтинівська, 1",5 кімнат,150 м²,93 633 грн,"Подільський,",Контрактова площа,"{'lat': 50.46374110000001, 'lng': 30.5160315}"
"бул. Лесі Українки, 7В",3 кімнати,90 м²,101 124 грн,"Печерський,",,"{'lat': 50.4346578, 'lng': 30.5312405}"
"вул. Драгомирова, 14",4 кімнати,149 м²,37 453 грн,"Печерський,",Дружби народів,"{'lat': 50.4118019, 'lng': 30.54562779999999}"
"вул. Кожум'яцька, 16А",2 кімнати,84 м²,44 944 грн,"Подільський,",Контрактова площа,"{'lat': 50.4604112, 'lng': 30.5096317}"
"вул. Саперне Поле, 5",3 кімнати,92 м²,65 543 грн,"Печерський,",Либідська,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"вул. Панаса Мирного, 7",5 кімнат,190 м²,63 670 грн,"Печерський,",Печерська,"{'lat': 50.4333752, 'lng': 30.5395864}"
"вул. Ділова, 1/2",1 кімната,55 м²,48 652 грн,"Печерський,",Олімпійська,"{'lat': 50.4296732, 'lng': 30.5204858}"
"вул. Льва Толстого, 11",5 кімнат,220 м²,74 906 грн,"Шевченківський,",Площа Льва Толстого,"{'lat': 50.440045, 'lng': 30.5117081}"
"вул. Дмитрівська, 69",3 кімнати,130 м²,1 123 595 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.4548104, 'lng': 30.48681169999999}"
"вул. Звіринецька, 59",4 кімнати,184 м²,56 180 грн,"Печерський,",Дружби народів,"{'lat': 50.40776959999999, 'lng': 30.5552412}"
"вул. Панаса Мирного, 12",3 кімнати,155 м²,37 453 грн,"Печерський,",Печерська,"{'lat': 50.4333991, 'lng': 30.5417311}"
"бул. Тараса Шевченка, 1",1 кімната,52 м²,48 689 грн,"Шевченківський,",Театральна,"{'lat': 50.4421912, 'lng': 30.5193614}"
"бул. Лесі Українки, 7А",2 кімнати,105 м²,44 944 грн,"Печерський,",Печерська,"{'lat': 50.43268639999999, 'lng': 30.5334457}"
"вул. Патріса Лумумби, 6/1",3 кімнати,92 м²,65 543 грн,"Печерський,",Либідська,"{'lat': 50.42050210000001, 'lng': 30.5305674}"
"вул. Драгомирова, 9",4 кімнати,120 м²,60 000 грн,"Печерський,",Дружби народів,"{'lat': 50.4101218, 'lng': 30.5465873}"
"вул. Василя Тютюнника, 51/1А",3 кімнати,80 м²,48 689 грн,"Печерський,",,"{'lat': 50.4175656, 'lng': 30.5282171}"
"вул. Маккейна Джона, 7",2 кімнати,60 м²,41 198 грн,"Печерський,",Либідська,"{'lat': 50.4159539, 'lng': 30.5306472}"
"вул. Ольгинська, 6",3 кімнати,155 м²,44 944 грн,"Печерський,",Хрещатик,"{'lat': 50.4472764, 'lng': 30.5288535}"
"вул. Інститутська, 18Б",4 кімнати,207 м²,187 266 грн,"Печерський,",Хрещатик,"{'lat': 50.445605, 'lng': 30.53418899999999}"
"просп. Володимира Івасюка, 24",5 кімнат,270 м²,63 670 грн,"Оболонський,",Мінська,"{'lat': 50.5115776, 'lng': 30.5085657}"
"вул. Патріса Лумумби, 6/1",3 кімнати,92 м²,65 543 грн,"Печерський,",Либідська,"{'lat': 50.42050210000001, 'lng': 30.5305674}"
"бул. Ярослава Гашека, 18",2 кімнати,115 м²,44 944 грн,"Дарницький,",Дарниця,"{'lat': 50.4378417, 'lng': 30.6325663}"
"вул. Патріса Лумумби, 11",2 кімнати,65 м²,37 453 грн,"Печерський,",Дружби народів,"{'lat': 50.4209277, 'lng': 30.5326337}"
"вул. Старонаводницька, 13",5 кімнат,170 м²,56 180 грн,"Печерський,",Печерська,"{'lat': 50.42676059999999, 'lng': 30.54283329999999}"
"вул. Буслівська, 12",4 кімнати,122 м²,74 906 грн,"Печерський,",Видубичі,"{'lat': 50.4073727, 'lng': 30.5566101}"
"вул. Жилянська, 118",3 кімнати,102 м²,48 689 грн,"Шевченківський,",Вокзальна,"{'lat': 50.4417356, 'lng': 30.4966434}"
"вул. Велика Житомирська, 8Б",2 кімнати,80 м²,48 689 грн,"Шевченківський,",Майдан Незалежності,"{'lat': 50.4556705, 'lng': 30.51553909999999}"
"вул. Микільсько-Ботанічна, 1/25",3 кімнати,80 м²,37 453 грн,"Шевченківський,",,"{'lat': 50.4380391, 'lng': 30.5067756}"
"пров. Лабораторний, 7",4 кімнати,108 м²,67 416 грн,"Печерський,",Печерська,"{'lat': 50.4254132, 'lng': 30.519832}"
"просп. Володимира Івасюка, 24А",5 кімнат,330 м²,168 539 грн,"Оболонський,",Мінська,"{'lat': 50.5126742, 'lng': 30.5077779}"
"вул. Архітектора Городецького, 12",4 кімнати,170 м²,112 360 грн,"Печерський,",Хрещатик,"{'lat': 50.44639000000001, 'lng': 30.526857}"
"вул. Болсуновська, 2",2 кімнати,89 м²,101 124 грн,"Печерський,",,"{'lat': 50.4213737, 'lng': 30.5525159}"
"просп. Лобановського, 150",3 кімнати,110 м²,44 944 грн,"Голосіївський,",Деміївська,"{'lat': 50.4070124, 'lng': 30.5085883}"
"вул. Коновальця Євгена, 26А",3 кімнати,130 м²,131 086 грн,"Печерський,",,"{'lat': 50.42695519999999, 'lng': 30.5307143}"
"вул. Академика Філатова, 51/1А",3 кімнати,80 м²,39 326 грн,"Печерський,",Либідська,"{'lat': 50.41429, 'lng': 30.5324443}"
"вул. Маккейна Джона, 26",4 кімнати,125 м²,67 416 грн,"Печерський,",Дружби народів,"{'lat': 50.4184533, 'lng': 30.5392407}"
"вул. Микільсько-Слобідська, 3А",3 кімнати,77 м²,44 944 грн,"Дніпровський,",Лівобережна,"{'lat': 50.45050500000001, 'lng': 30.5849588}"
"вул. Золотоустівська, 50",5 кімнат,163 м²,41 198 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.4541827, 'lng': 30.4871357}"
"вул. Набережно-Рибальська, 9",3 кімнати,150 м²,56 180 грн,"Подільський,",Почайна(Петрівка),"{'lat': 50.4804149, 'lng': 30.535291}"
"вул. Кудрявська, 3",2 кімнати,86 м²,44 944 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4571002, 'lng': 30.500999}"
"вул. Ділова, 2Б",2 кімнати,70 м²,44 944 грн,"Печерський,",,"{'lat': 50.43009199999999, 'lng': 30.5219682}"
"вул. Зарічна, 1",2 кімнати,80 м²,38 000 грн,"Дарницький,",Дарниця,"{'lat': 50.3950654, 'lng': 30.6021594}"
"вул. Старонаводницька, 6Б",4 кімнати,150 м²,74 906 грн,"Печерський,",Печерська,"{'lat': 50.42741969999999, 'lng': 30.5460873}"
"вул. Саксаганського, 37К",3 кімнати,86 м²,93 633 грн,"Голосіївський,",,"{'lat': 50.4354538, 'lng': 30.5125045}"
"Кудрі) (Івана Джона Маккейна вулиця, 1Б",3 кімнати,84 м²,56 180 грн,"Печерський,",Либідська,"{'lat': 50.414604, 'lng': 30.5264298}"
"вул. Паторжинського, 14",3 кімнати,176 м²,93 633 грн,"Шевченківський,",Майдан Незалежності,"{'lat': 50.4504501, 'lng': 30.5178901}"
"вул. Дмитрівська, 75",3 кімнати,114 м²,37 453 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.4564896, 'lng': 30.4867669}"
"вул. Богдана Хмельницького, 66",4 кімнати,128 м²,37 453 грн,"Шевченківський,",Університет,"{'lat': 50.44803109999999, 'lng': 30.5043313}"
"просп. Лобановського, 150",3 кімнати,110 м²,44 944 грн,"Голосіївський,",Голосіївська,"{'lat': 50.4070124, 'lng': 30.5085883}"
"вул. Заньковецької, 5/2",2 кімнати,81 м²,48 689 грн,"Печерський,",Хрещатик,"{'lat': 50.44644599999999, 'lng': 30.525486}"
"вул. Болсуновська, 2",3 кімнати,144 м²,153 558 грн,"Печерський,",Дружби народів,"{'lat': 50.4213737, 'lng': 30.5525159}"
"вул. Драгомирова, 15Б",2 кімнати,56 м²,44 944 грн,"Печерський,",Либідська,"{'lat': 50.4081006, 'lng': 30.5449295}"
"вул. Олеся Гончара, 35",3 кімнати,142 м²,93 633 грн,"Шевченківський,",,"{'lat': 50.4510787, 'lng': 30.5074115}"
"вул. Коновальця Євгена, 36В",3 кімнати,135 м²,50 187 грн,"Печерський,",,"{'lat': 50.4251083, 'lng': 30.5324749}"
"вул. Саперне Поле, 5А",4 кімнати,175 м²,168 539 грн,"Печерський,",Либідська,"{'lat': 50.4195381, 'lng': 30.5322298}"
"вул. Предславинська, 31/11",3 кімнати,135 м²,44 944 грн,"Печерський,",,"{'lat': 50.42405890000001, 'lng': 30.5217436}"
"вул. Дмитрівська, 75",4 кімнати,140 м²,44 944 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.4564896, 'lng': 30.4867669}"
"вул. Професора Підвисоцького, 4В",3 кімнати,72 м²,63 670 грн,"Печерський,",,"{'lat': 50.4155174, 'lng': 30.5488401}"
"вул. Драгомирова, 16",3 кімнати,85 м²,52 434 грн,"Печерський,",Дружби народів,"{'lat': 50.4106795, 'lng': 30.5455096}"
"вул. Клінічна, 28",4 кімнати,215 м²,74 906 грн,"Голосіївський,",Деміївська,"{'lat': 50.4181482, 'lng': 30.490207}"
"вул. Маккейна Джона, 7",3 кімнати,106 м²,74 906 грн,"Печерський,",Либідська,"{'lat': 50.4159539, 'lng': 30.5306472}"
"бул. Лесі Українки, 8",3 кімнати,92 м²,101 124 грн,"Печерський,",Печерська,"{'lat': 50.4364836, 'lng': 30.5273173}"
"вул. Саперне Поле, 5",2 кімнати,72 м²,52 434 грн,"Печерський,",Либідська,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"вул. Пирогова, 2В",3 кімнати,110 м²,67 416 грн,"Шевченківський,",,"{'lat': 50.446375, 'lng': 30.505666}"
"вул. Маккейна Джона, 7",2 кімнати,45 м²,52 434 грн,"Печерський,",Либідська,"{'lat': 50.4159539, 'lng': 30.5306472}"
"вул. Інститутська, 18",2 кімнати,150 м²,93 633 грн,"Печерський,",Майдан Незалежності,"{'lat': 50.445605, 'lng': 30.53418899999999}"
"вул. Драгомирова, 16",3 кімнати,115 м²,37 453 грн,"Печерський,",Дружби народів,"{'lat': 50.4106795, 'lng': 30.5455096}"
"вул. Василя Тютюнника, 31/1",3 кімнати,100 м²,48 689 грн,"Печерський,",,"{'lat': 50.4247378, 'lng': 30.5233488}"
"вул. Лейпцизька, 13",3 кімнати,90 м²,44 944 грн,"Печерський,",,"{'lat': 50.431294, 'lng': 30.5501859}"
"вул. Василя Тютюнника, 37/1",3 кімнати,120 м²,63 670 грн,"Печерський,","Палац ""Україна""","{'lat': 50.421121, 'lng': 30.5263204}"
"вул. Євгена Маланюка, 101ш",4 кімнати,121 м²,56 180 грн,"Дніпровський,",,"{'lat': 50.45891899999999, 'lng': 30.585785}"
"вул. Коновальця Євгена, 32Б",4 кімнати,150 м²,48 689 грн,"Печерський,",Печерська,"{'lat': 50.4258396, 'lng': 30.5324957}"
"вул. Тургенєвська, 44",4 кімнати,174 м²,131 086 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.4523333, 'lng': 30.4923014}"
"бул. Лесі Українки, 21Б",4 кімнати,110 м²,56 180 грн,"Печерський,",Печерська,"{'lat': 50.42507620000001, 'lng': 30.5434251}"
"вул. Драгомирова, 20",5 кімнат,350 м²,749 064 грн,"Печерський,",Дружби народів,"{'lat': 50.4092905, 'lng': 30.5438982}"
"бул. Лесі Українки, 30Б",3 кімнати,120 м²,37 453 грн,"Печерський,",,"{'lat': 50.42355800000001, 'lng': 30.5416008}"
"вул. Інститутська, 18А",5 кімнат,255 м²,187 266 грн,"Печерський,",,"{'lat': 50.4452794, 'lng': 30.5316717}"
"вул. Новоселицька, 10",2 кімнати,88 м²,74 906 грн,",",,"{'lat': 50.4083967, 'lng': 30.5555335}"
"вул. Федора Максименка, 2А",1 кімната,53 м²,61 798 грн,"Печерський,",,"{'lat': 50.5287854, 'lng': 30.36239}"
"вул. Льва Толстого, 11",5 кімнат,220 м²,93 633 грн,"Шевченківський,",Площа Льва Толстого,"{'lat': 50.440045, 'lng': 30.5117081}"
"вул. Тургенєвська, 44",4 кімнати,175 м²,131 086 грн,"Шевченківський,",,"{'lat': 50.4523333, 'lng': 30.4923014}"
"вул. Інститутська, 18Б",4 кімнати,207 м²,187 266 грн,"Печерський,",,"{'lat': 50.445605, 'lng': 30.53418899999999}"
"вул. Маккейна Джона, 1",3 кімнати,86 м²,44 944 грн,"Печерський,",Либідська,"{'lat': 50.4139129, 'lng': 30.5264399}"
"вул. Багговутівська, 1В",4 кімнати,160 м²,74 906 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.47238189999999, 'lng': 30.4712457}"
"вул. Раїси Окіпної, 18",4 кімнати,187 м²,112 360 грн,"Дніпровський,",,"{'lat': 50.4479346, 'lng': 30.5886259}"
"вул. Василя Тютюнника, 37/1",3 кімнати,95 м²,67 416 грн,"Печерський,","Палац ""Україна""","{'lat': 50.421121, 'lng': 30.5263204}"
"вул. Саперне Поле, 5",2 кімнати,72 м²,52 434 грн,"Печерський,",,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"вул. Інститутська, 18А",4 кімнати,200 м²,93 633 грн,"Печерський,",,"{'lat': 50.4452794, 'lng': 30.5316717}"
"вул. Симона Петлюри, 22",2 кімнати,90 м²,56 180 грн,"Шевченківський,",Університет,"{'lat': 50.4435462, 'lng': 30.49591269999999}"
"вул. Саперне Поле, 5",2 кімнати,78 м²,74 906 грн,"Печерський,",Либідська,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"пров. Лабораторний, 7",3 кімнати,80 м²,59 925 грн,"Печерський,","Палац ""Україна""","{'lat': 50.4254132, 'lng': 30.519832}"
"вул. Василя Тютюнника, 28",2 кімнати,58 м²,52 434 грн,"Печерський,","Палац ""Україна""","{'lat': 50.4244701, 'lng': 30.523154}"
"вул. Авіоконструктора Антонова, 4А",4 кімнати,185 м²,74 906 грн,"Солом'янський,",,"{'lat': 50.4311659, 'lng': 30.459127}"
"вул. Горького, 131",4 кімнати,220 м²,86 142 грн,"Голосіївський,","Палац ""Україна""","{'lat': 50.4182807, 'lng': 30.5201892}"
"вул. Набережно-Рибальська, 9",2 кімнати,73 м²,44 944 грн,"Подільський,",,"{'lat': 50.4804149, 'lng': 30.535291}"
"вул. Драгомирова, 18",2 кімнати,72 м²,74 906 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Предславинська, 31/11",3 кімнати,135 м²,41 198 грн,"Печерський,","Палац ""Україна""","{'lat': 50.42405890000001, 'lng': 30.5217436}"
"вул. Круглоуніверситетська, 3-5",4 кімнати,180 м²,84 270 грн,"Печерський,",Хрещатик,"{'lat': 50.4432141, 'lng': 30.5231577}"
"вул. Лютеранська, 7/10",2 кімнати,60 м²,37 453 грн,"Печерський,",,"{'lat': 50.44592309999999, 'lng': 30.5239963}"
"вул. Велика Житомирська, 27",3 кімнати,73 м²,48 689 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4551969, 'lng': 30.5108248}"
"вул. Драгомирова, 2А",2 кімнати,110 м²,56 180 грн,"Печерський,",Дружби народів,"{'lat': 50.41358049999999, 'lng': 30.5445166}"
"вул. Драгомирова, 20",3 кімнати,90 м²,37 453 грн,"Печерський,",Дружби народів,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Драгомирова, 15",5 кімнат,193 м²,224 719 грн,"Печерський,",Дружби народів,"{'lat': 50.408789, 'lng': 30.5449542}"
"вул. Новоселицька, 4",2 кімнати,88 м²,74 906 грн,"Печерський,",Видубичі,"{'lat': 50.40895800000001, 'lng': 30.555439}"
"Українки Лесі вулиця, 23",3 кімнати,146 м²,67 416 грн,"Печерський,",Палац спорту,"{'lat': 50.4239865, 'lng': 30.5435004}"
"вул. Саперне Поле, 5",2 кімнати,91 м²,52 434 грн,"Печерський,",Либідська,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"вул. Саперне Поле, 5",2 кімнати,80 м²,50 562 грн,"Печерський,","Палац ""Україна""","{'lat': 50.4190988, 'lng': 30.53113699999999}"
"вул. Василя Тютюнника, 53",5 кімнат,150 м²,74 906 грн,"Печерський,",,"{'lat': 50.4168157, 'lng': 30.5288956}"
"вул. Льва Толстого, 11",5 кімнат,220 м²,74 906 грн,"Шевченківський,",Площа Льва Толстого,"{'lat': 50.440045, 'lng': 30.5117081}"
"вул. Маккейна Джона, 7",2 кімнати,50 м²,52 434 грн,"Печерський,",Либідська,"{'lat': 50.4159539, 'lng': 30.5306472}"
"вул. Ділова, 1/2",3 кімнати,103 м²,74 906 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}"
"пров. Лабораторний, 7",2 кімнати,78 м²,74 906 грн,"Печерський,",Олімпійська,"{'lat': 50.4254132, 'lng': 30.519832}"
"узвіз Кловський, 7",3 кімнати,155 м²,59 925 грн,"Печерський,",Кловська,"{'lat': 50.4405345, 'lng': 30.5389159}"
"вул. Володимирська, 49А",5 кімнат,212 м²,67 416 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4475103, 'lng': 30.5145147}"
"вул. Предславинська, 42А",2 кімнати,50 м²,41 198 грн,,Либідська,"{'lat': 50.4156007, 'lng': 30.525237}"
"вул. Предславинська, 42А",4 кімнати,110 м²,82 397 грн,,Либідська,"{'lat': 50.4156007, 'lng': 30.525237}"
"вул. Предславинська, 42А",2 кімнати,45 м²,44 944 грн,,Либідська,"{'lat': 50.4156007, 'lng': 30.525237}"
"вул. Євгена Сверстюка, 4",2 кімнати,75 м²,56 180 грн,"Дніпровський,",Лівобережна,"{'lat': 50.4485245, 'lng': 30.5996028}"
"вул. Драгомирова, 11",4 кімнати,160 м²,112 360 грн,"Печерський,",Дружби народів,"{'lat': 50.409347, 'lng': 30.5458778}"
"вул. Зарічна, 1А",3 кімнати,125 м²,37 453 грн,"Дарницький,",Славутич,"{'lat': 50.3955528, 'lng': 30.6016304}"
"узвіз Андріївський, 3",2 кімнати,60 м²,93 633 грн,"Шевченківський,",,"{'lat': 50.4615187, 'lng': 30.5171732}"
"пров. Лабораторний, 7",4 кімнати,110 м²,56 180 грн,"Печерський,","Палац ""Україна""","{'lat': 50.4254132, 'lng': 30.519832}"
"вул. Сергія Колоса, 2",4 кімнати,80 м²,44 944 грн,"Печерський,",,"{'lat': 50.3922962, 'lng': 30.4575819}"
"узвіз Андріївський, 3",2 кімнати,60 м²,93 633 грн,"Шевченківський,",Контрактова площа,"{'lat': 50.4615187, 'lng': 30.5171732}"
"вул. Коновальця Євгена, 34",4 кімнати,145 м²,74 906 грн,"Печерський,",Дружби народів,"{'lat': 50.4267967, 'lng': 30.5344145}"
"вул. Лаврська, 4",3 кімнати,80 м²,44 944 грн,"Печерський,",,"{'lat': 50.4384482, 'lng': 30.5510316}"
"вул. Саксаганського, 37К",2 кімнати,70 м²,56 180 грн,"Голосіївський,",Олімпійська,"{'lat': 50.4354538, 'lng': 30.5125045}"
"просп. Володимира Івасюка, 24",5 кімнат,270 м²,63 670 грн,"Оболонський,",Мінська,"{'lat': 50.5115776, 'lng': 30.5085657}"
"вул. Круглоуніверситетська, 3-5",4 кімнати,180 м²,59 925 грн,"Печерський,",Хрещатик,"{'lat': 50.4432141, 'lng': 30.5231577}"
"вул. Предславинська, 40",4 кімнати,110 м²,82 397 грн,"Печерський,",,"{'lat': 50.4161335, 'lng': 30.525454}"
"вул. Василя Тютюнника, 51/1А",3 кімнати,80 м²,48 689 грн,"Печерський,",,"{'lat': 50.4175656, 'lng': 30.5282171}"
"пров. Лабораторний, 7",4 кімнати,108 м²,74 906 грн,"Печерський,",Печерська,"{'lat': 50.4254132, 'lng': 30.519832}"
"бул. Лесі Українки, 23",3 кімнати,146 м²,46 816 грн,"Печерський,",Печерська,"{'lat': 50.4239865, 'lng': 30.5435004}"
"вул. Панаса Мирного, 12",4 кімнати,169 м²,44 944 грн,"Печерський,",Печерська,"{'lat': 50.4333991, 'lng': 30.5417311}"
"вул. Драгомирова, 14",3 кімнати,155 м²,82 397 грн,"Печерський,",Дружби народів,"{'lat': 50.4118019, 'lng': 30.54562779999999}"
"вул. Драгомирова, 18",3 кімнати,85 м²,56 180 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Бульварно-Кудрявська, 15",3 кімнати,50 м²,37 453 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4528628, 'lng': 30.5027825}"
"вул. Митрополита Василя Липківського, 37Г",2 кімнати,65 м²,37 453 грн,"Солом'янський,",Майдан Незалежності,"{'lat': 50.4303712, 'lng': 30.4758501}"
"бул. Лесі Українки, 8",2 кімнати,65 м²,37 453 грн,"Печерський,",,"{'lat': 50.4364836, 'lng': 30.5273173}"
"вул. Василя Тютюнника, 37/1",3 кімнати,120 м²,63 670 грн,"Печерський,","Палац ""Україна""","{'lat': 50.421121, 'lng': 30.5263204}"
"просп. Голосіївський, 60",4 кімнати,118 м²,86 142 грн,"Голосіївський,",,"{'lat': 50.401103, 'lng': 30.5120993}"
"вул. Івана Франка, 11",3 кімнати,145 м²,168 539 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4488899, 'lng': 30.5102852}"
"вул. Ділова, 1/2",2 кімнати,50 м²,56 180 грн,"Печерський,",Олімпійська,"{'lat': 50.4296732, 'lng': 30.5204858}"
"вул. Драгомирова, 18",3 кімнати,87 м²,59 925 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Драгомирова, 16",3 кімнати,115 м²,56 180 грн,"Печерський,",Дружби народів,"{'lat': 50.4106795, 'lng': 30.5455096}"
"вул. Драгомирова, 18",3 кімнати,87 м²,74 906 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Лютеранська, 7/10",2 кімнати,100 м²,112 360 грн,"Шевченківський,",Майдан Незалежності,"{'lat': 50.44592309999999, 'lng': 30.5239963}"
"вул. Євгена Маланюка, 101ш",4 кімнати,121 м²,74 906 грн,"Дніпровський,",,"{'lat': 50.45891899999999, 'lng': 30.585785}"
"вул. Інститутська, 18А",4 кімнати,200 м²,131 086 грн,"Шевченківський,",Хрещатик,"{'lat': 50.4452794, 'lng': 30.5316717}"
