Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро,Координати адрес
"просп. Володимира Івасюка, 12Е",3 кімнати,120 м²,20 000 грн,"Оболонський,",Оболонь,"{'lat': 50.5062773, 'lng': 30.5133144}"
"вул. Саперне Поле, 3",3 кімнати,99 м²,93 633 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}"
"вул. Саперне Поле, 3",3 кімнати,92 м²,78 652 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}"
"наб. Дніпровська, 13",1 кімната,45 м²,8 500 грн,"Дніпровський,",Лівобережна,"{'lat': 50.4229285, 'lng': 30.5931785}"
"вул. Ахматової Анни, 13Б",3 кімнати,80 м²,13 000 грн,"Дарницький,",Позняки,"{'lat': 50.40854239999999, 'lng': 30.6343369}"
"вул. Миропільська, 23/16",2 кімнати,65 м²,8 000 грн,"Дніпровський,",Чернігівська,"{'lat': 50.4684403, 'lng': 30.621773}"
"вул. Бориспільська, 23А",2 кімнати,68 м²,8 500 грн,"Дарницький,",Червоний хутір,"{'lat': 50.4226543, 'lng': 30.7039941}"
"вул. Молдавська, 2",3 кімнати,160 м²,30 000 грн,"Солом'янський,",Шулявська,"{'lat': 50.4584011, 'lng': 30.4770813}"
вул. Митрополита Василя Липківського,2 кімнати,51 м²,30 000 грн,"Солом'янський,",,"{'lat': 50.4336011, 'lng': 30.484256}"
"просп. Лобановського, 6-Д",1 кімната,56 м²,12 000 грн,"Солом'янський,",Деміївська,"{'lat': 50.4220206, 'lng': 30.4661904}"
"вул. Пулюя, 1А",3 кімнати,90 м²,17 000 грн,"Солом'янський,",Вокзальна,"{'lat': 50.416432, 'lng': 30.4662169}"
"пров. Ясинуватський, 10",2 кімнати,80 м²,18 727 грн,"Голосіївський,",Деміївська,"{'lat': 50.4098982, 'lng': 30.5069597}"
"вул. Академіка Вільямса, 3/7",1 кімната,50 м²,12 500 грн,"Голосіївський,",Іподром,"{'lat': 50.3899122, 'lng': 30.4652596}"
"просп. Володимира Івасюка, 4",1 кімната,58 м²,14 000 грн,"Оболонський,",Оболонь,"{'lat': 50.4925449, 'lng': 30.5251349}"
"просп. Петра Григоренка, 15",3 кімнати,85 м²,11 000 грн,"Дарницький,",Позняки,"{'lat': 50.4094679, 'lng': 30.6290307}"
"просп. Бажана Миколи, 36",3 кімнати,102 м²,15 000 грн,"Дарницький,",Харківська,"{'lat': 50.3993511, 'lng': 30.6497879}"
"вул. Січових Стрільців, 30А",2 кімнати,53 м²,16 000 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4564886, 'lng': 30.497555}"
"вул. Пулюя, 5А",3 кімнати,79 м²,16 000 грн,"Солом'янський,",Вокзальна,"{'lat': 50.4152929, 'lng': 30.4661581}"
"вул. Урлівська, 38",3 кімнати,100 м²,12 000 грн,"Дарницький,",Позняки,"{'lat': 50.4117435, 'lng': 30.6163605}"
вул. Раїси Окіпної,2 кімнати,98 м²,56 180 грн,"Дніпровський,",,"{'lat': 50.449423, 'lng': 30.5950338}"
"вул. Григорія Андрющенка, 4Б",1 кімната,34 м²,10 000 грн,"Солом'янський,",Лук'янівська,"{'lat': 50.4535949, 'lng': 30.4815476}"
"вул. Микільсько-Ботанічна, 7/9",2 кімнати,52 м²,29 963 грн,"Голосіївський,",Університет,"{'lat': 50.4384185, 'lng': 30.5058721}"
"вул. Саперне Поле, 3",3 кімнати,99 м²,93 633 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}"
"вул. Саперне Поле, 3",3 кімнати,92 м²,78 652 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}"
"вул. Саперне Поле, 3",3 кімнати,94 м²,71 161 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}"
"просп. Берестейський(Перемоги), 146/2",3 кімнати,68 м²,12 500 грн,"Святошинський,",Житомирська,"{'lat': 50.4562196, 'lng': 30.3474309}"
"просп. Лобановського, 146Б",2 кімнати,51 м²,25 000 грн,"Голосіївський,",,"{'lat': 50.4068996, 'lng': 30.5076453}"
вул. Йорданська,2 кімнати,56 м²,9 500 грн,"Оболонський,",Оболонь,"{'lat': 50.4948288, 'lng': 30.5072863}"
"пров. Приладний, 10",2 кімнати,60 м²,11 000 грн,"Святошинський,",Академмістечко,"{'lat': 50.4733084, 'lng': 30.3643253}"
"вул. Ковпака, 17",3 кімнати,103 м²,18 727 грн,"Печерський,",Либідська,"{'lat': 50.4172232, 'lng': 30.5247632}"
"просп. Володимира Івасюка, 12Ж",3 кімнати,122 м²,27 000 грн,"Оболонський,",Оболонь,"{'lat': 50.5065089, 'lng': 30.5122056}"
"вул. Драгомирова, 9",2 кімнати,68 м²,41 198 грн,"Печерський,",,"{'lat': 50.4101218, 'lng': 30.5465873}"
"вул. Драгомирова, 17",3 кімнати,90 м²,59 925 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}"
"вул. Драгомирова, 17",3 кімнати,90 м²,48 689 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}"
"вул. Драгомирова, 14А",1 кімната,52 м²,41 198 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}"
"вул. Драгомирова, 20",3 кімнати,90 м²,67 416 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Драгомирова, 20",4 кімнати,150 м²,59 925 грн,"Печерський,",Дружби народів,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Драгомирова, 3",5 кімнат,250 м²,131 086 грн,"Печерський,",,"{'lat': 50.4125937, 'lng': 30.5468869}"
"вул. Драгомирова, 15",1 кімната,50 м²,29 963 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}"
"вул. Драгомирова, 20",4 кімнати,190 м²,168 539 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Драгомирова, 3",3 кімнати,130 м²,74 906 грн,"Печерський,",,"{'lat': 50.4125937, 'lng': 30.5468869}"
